Prefix,Number,CourseDirectorID,Remarks
CSCI,1000,14,
CSCI,1003,14,
CSCI,1010,14,
CSCI,1011,14,
CSCI,2400,12,
CSCI,2405,12,
CSCI,2410,5,
CSCI,2530,1,
CSCI,2540,1,
CSCI,3000,9,
CSCI,3010,9,
CSCI,3030,12,
CSCI,3200,12,
CSCI,3550,9,
CSCI,3584,5,
CSCI,3650,5,
CSCI,3675,1,
CSCI,3700,4,
CSCI,3800,9,
CSCI,4110,7,
CSCI,4120,16,
CSCI,4130,6,
CSCI,4140,7,
CSCI,4150,6,
CSCI,4160,5,
CSCI,4170,8,
CSCI,4180,7,
CSCI,4190,5,
CSCI,4230,8,
CSCI,4231,8,
CSCI,4300,6,
CSCI,4520,9,
CSCI,4540,8,
CSCI,4550,9,
CSCI,4602,1,
CSCI,4627,1,
CSCI,4710,16,
CSCI,4900,14,
CSCI,4905,6,
SENG,1000,15,
SENG,1010,16,
SENG,1020,16,
SENG,1030,16,
SENG,2000,11,
SENG,2010,11,
SENG,2020,8,
SENG,3000,8,
SENG,3010,3,
SENG,3020,3,
SENG,3700,6,
SENG,4500,11,
SENG,4510,11,
CSCI,5002,5,
CSCI,5220,1,
CSCI,5501,6,
CSCI,5502,6,
CSCI,5503,6,
CSCI,5800,7,
CSCI,6010,7,
CSCI,6020,16,
CSCI,6030,6,
CSCI,6040,7,
CSCI,6045,15,
CSCI,6050,6,
CSCI,6100,5,
CSCI,6120,15,
CSCI,6130,15,
CSCI,6140,15,
CSCI,6150,5,
CSCI,6220,1,
CSCI,6230,8,
CSCI,6300,5,
CSCI,6410,5,
CSCI,6420,1,
CSCI,6510,5,
CSCI,6600,4,
CSCI,6710,16,
CSCI,6810,7,
CSCI,6820,6,
CSCI,6840,4,
CSCI,6905,6,
CSCI,6995,1,
CSCI,7000,8,
CSCI,7001,8,
SENG,5000,8,
SENG,5005,5,
SENG,6230,8,
SENG,6235,15,
SENG,6240,15,
SENG,6245,8,
SENG,6247,12,
SENG,6250,8,
SENG,6255,3,
SENG,6260,3,
SENG,6265,3,
SENG,6270,3,
SENG,6275,3,
SENG,6280,8,
SENG,6285,15,
SENG,6290,15,
SENG,7000,15,
DASC,6000,6,
DASC,6005,6,
DASC,6010,7,
DASC,6020,16,
DASC,6030,6,
DASC,6040,7,
DASC,6050,6,
DASC,6060,6,
DASC,6070,6,
DASC,6090,6,