Year,Semester,Prefix,Number,Section,CRN,Enrollment, Instructor,Days,BeginTime,EndTime,Remarks
2021,Spring,CSCI,1010,001,31764,49,14, MWF,0900,0950,
2021,Spring,CSCI,1010,002,31769,51,14, MWF,1100,1150,
2021,Spring,CSCI,1011,001,31773,25,14, M,1200,1340,
2021,Spring,CSCI,1011,002,31883,24,14,T,1200,1340,
2021,Spring,CSCI,1011,003,31885,26,14,W,1200,1340,
2021,Spring,CSCI,1011,004,31887,25,14,R,1200,1340,
2021,Spring,CSCI,2400,001,31891,54,1,,,,
2021,Spring,CSCI,2400,002,32794,45,1,,,,
2021,Spring,CSCI,2405,001,31892,50,1,,,,
2021,Spring,CSCI,2530,001,31895,27,9,TR,0930,1045,
2021,Spring,CSCI,2530,002,32985,50,9,TR,1230,1345,
2021,Spring,CSCI,2540,001,31897,15,4,TR,0930,1045,
2021,Spring,CSCI,2540,002,32866,35,4,TR,1230,1345,
2021,Spring,CSCI,3000,001,31899,40,12,TR,1100,1215,
2021,Spring,CSCI,3000,002,32997,37,12,TR,,,
2021,Spring,CSCI,3010,001,31901,24,9,MW,1400,1515,
2021,Spring,CSCI,3010,002,33003,49,9,MW,1700,1815,
2021,Spring,CSCI,3650,001,31907,7,5,MW,1400,1515,
2021,Spring,CSCI,3650,601,32880,80,5,MW,1400,1515,
2021,Spring,CSCI,4110,601,36431,5,7,,,,
2021,Spring,CSCI,4130,001,31914,39,3,MW,1530,1645,
2021,Spring,CSCI,4140,001,31918,36,7,TR,1230,1345,
2021,Spring,CSCI,4170,001,31921,40,8,TR,1400,1515,
2021,Spring,CSCI,4190,001,31923,1,5,MW,1700,1815,
2021,Spring,CSCI,4190,601,33853,14,5,MW,1700,1815,
2021,Spring,CSCI,4230,001,31924,28,11,MW,1100,1150,WI
2021,Spring,CSCI,4230,002,31926,26,12,TR,,,WI
2021,Spring,CSCI,4231,001,31927,28,11,T,1700,1840,
2021,Spring,CSCI,4231,002,31928,26,12,R,1700,1840,
2021,Spring,CSCI,4550,001,31929,35,9,TR,1530,1645,
2021,Spring,CSCI,4710,001,31930,42,16,MW,1400,1515,
2021,Spring,CSCI,4900,601,32990,2,14,T,1800,1850,
2021,Spring,CSCI,6010,001,31932,4,7,TR,0930,1045,
2021,Spring,CSCI,6010,601,31933,14,7,,,,
2021,Spring,CSCI,6030,001,31934,4,3,MW,1530,1645,
2021,Spring,CSCI,6030,601,31935,1,3,,,,,
2021,Spring,CSCI,6040,601,31937,4,7,,,,
2021,Spring,CSCI,6100,601,31939,4,5,,,,
2021,Spring,CSCI,6600,001,31942,2,4,TR,1530,1645,
2021,Spring,CSCI,6600,601,31943,15,4,,,,
2021,Spring,CSCI,6710,001,31940,7,16,MW,1400,1515,
2021,Spring,CSCI,6710,601,31941,10,16,,,,
2021,Spring,CSCI,6995,601,36491,1,16,,,,
2021,Spring,CSCI,7000,001,36103,1,3,,,,
2021,Spring,CSCI,7000,002,36212,1,12,,,,
2021,Spring,CSCI,7000,003,36259,1,15,,,,
2021,Spring,CSCI,7000,004,36351,1,7,,,,
2021,Spring,CSCI,7000,005,36445,1,6,,,,
2021,Spring,DASC,6005,001,31950,1,6,MW,1700,1815,
2021,Spring,DASC,6005,601,31953,12,6,,,,
2021,Spring,DASC,6010,601,31958,17,7,,,,
2021,Spring,DASC,6030,001,32010,1,3,MW,1530,1645,
2021,Spring,DASC,6030,601,32011,4,3,,,,
2021,Spring,DASC,6040,601,32021,2,7,,,,
2021,Spring,SENG,1010,001,32026,9,1,,,,
2021,Spring,SENG,1020,001,32030,7,11,MWF,1000,1100,
2021,Spring,SENG,1030,001,32034,8,16,MW,1600,1715,
2021,Spring,SENG,2000,001,32040,7,11,MWF,1500,1550,
2021,Spring,SENG,2010,601,33987,6,15,MW,1230,1345,
2021,Spring,SENG,3000,001,32059,5,15,MW,1000,1115,
2021,Spring,SENG,6250,001,32981,2,8,TR,1100,1215,
2021,Spring,SENG,6250,601,32983,4,8,,,,
2021,Spring,SENG,6255,601,32087,6,15,,,,
2021,Spring,SENG,6285,001,32095,5,8,TR,1400,1515,
2021,Spring,SENG,6285,601,32097,17,8,,,,
2021,Spring,SENG,6290,601,36039,1,8,,,,
2021,Spring,SENG,7000,001,36062,2,15,,,,
2021,Spring,SENG,7000,602,36189,1,15,,,,
2021,Spring,SENG,7000,603,36584,1,15,,,,
2020,Fall,CSCI,1000,001,84173,19,14,MWF,1000,1130,
2020,Fall,CSCI,1003,001,84103,19,14,F,1200,1340,
2020,Fall,CSCI,2410,001,84146,48,9,,,,
2020,Fall,CSCI,2410,002,84152,31,9,,,,
2020,Fall,CSCI,3030,001,84138,16,8,TR,1230,1445,
2020,Fall,CSCI,3584,001,84093,42,5,MWF,1000,1130,
2020,Fall,CSCI,3584,002,84094,39,5,MWF,1000,1130,
2020,Fall,CSCI,3675,001,84136,44,7,,1530,1715,
2020,Fall,CSCI,3675,002,84137,28,7,,1530,1715,
2020,Fall,CSCI,3700,001,84091,22,4,TR,0930,1145,
2020,Fall,CSCI,3700,002,84092,45,4,TR,1230,1445,
2020,Fall,CSCI,4602,001,84066,48,1,MWF,1300,1430,
2020,Fall,CSCI,4602,002,84071,22,1,MWF,1500,1630,
2020,Fall,SENG,1000,001,84161,15,11,MWF,1200,1330,
2020,Fall,SENG,2010,001,84189,6,15,TR,0930,1145,
2020,Fall,CSCI,4120,001,84224,36,16,MWF,1530,1645,
2020,Fall,CSCI,4150,001,84110,15,6,TR,1100,1215,
2020,Fall,CSCI,4150,601,87014,6,6,,,,
2020,Fall,CSCI,5501,0,86882,3,7,,,,
2020,Fall,CSCI,6020,001,84230,8,16,MWF,1530,1645,
2020,Fall,CSCI,6020,601,84234,15,16,,,,
2020,Fall,CSCI,6050,001,84114,8,6,TR,1100,1215,
2020,Fall,CSCI,6050,601,84117,9,6,,,,
2020,Fall,CSCI,6410,001,84083,1,5,MWF,1700,1815,
2020,Fall,CSCI,6410,601,84084,11,5,,,,
2020,Fall,CSCI,6995,001,86372,1,4,,,,
2020,Fall,CSCI,6995,601,87020,1,8,,,,
2020,Fall,CSCI,7000,001,86182,1,6,,,,
2020,Fall,CSCI,7000,002,86635,1,15,,,,
2020,Fall,CSCI,7000,003,86253,1,7,,,,
2020,Fall,CSCI,7000,004,86260,1,5,,,,
2020,Fall,CSCI,7000,005,86369,1,12,,,,
2020,Fall,CSCI,7000,601,86669,1,6,,,,
2020,Fall,DASC,6000,001,84121,1,6,MW,1700,1815,
2020,Fall,DASC,6000,601,84125,14,6,,,,
2020,Fall,DASC,6020,001,84236,4,16,MW,1530,1645,
2020,Fall,DASC,6020,601,84239,8,16,,,,
2020,Fall,DASC,6050,001,84131,3,6,TR,1100,1215,
2020,Fall,DASC,6050,601,84134,3,6,,,,
2020,Fall,SENG,5000,601,85813,8,12,,,,
2020,Fall,SENG,5005,601,85138,8,6,,,,
2020,Fall,SENG,6230,001,84195,6,15,TR,1400,1515,
2020,Fall,SENG,6230,601,84199,12,15,,,,
2020,Fall,SENG,6235,001,84203,2,15,TR,1530,1645,
2020,Fall,SENG,6235,601,84207,4,15,,,,
2020,Fall,SENG,6245,001,84088,5,3,TR,0930,1045,
2020,Fall,SENG,6245,601,84089,5,3,,,,
2020,Fall,SENG,6265,001,85135,6,3,TR,1230,1345,
2020,Fall,SENG,6265,601,85136,14,3,,,,
2020,Fall,SENG,7000,002,86184,1,8,,,,
2020,Fall,SENG,7000,003,86254,1,7,,,,
2020,Fall,SENG,7000,004,86589,1,15,,,,
2020,Fall,SENG,7000,006,86878,1,15,,,,
2020,Fall,CSCI,1010,001,84181,46,14,MWF,1300,1350,
2020,Fall,CSCI,1010,002,84187,49,14,MWF,1500,1550,
2020,Fall,CSCI,1011,001,84105,19,14,M,0900,1040,
2020,Fall,CSCI,1011,002,84106,22,14,M,1100,1240,
2020,Fall,CSCI,1011,003,84107,20,14,W,0900,1040,
2020,Fall,CSCI,1011,004,84108,20,14,W,1100,1240,
2020,Fall,CSCI,1011,005,86696,14,14,T,0900,1040,
2020,Fall,CSCI,2400,001,84054,36,1,MWF,0900,0950,
2020,Fall,CSCI,2400,002,84062,39,1,MWF,1100,1150,
2020,Fall,CSCI,2405,001,84157,38,12,TR,1100,1215,
2020,Fall,CSCI,2405,002,84158,17,12,TR,1400,1515,
2020,Fall,CSCI,2530,001,84141,63,9,MW,,,
2020,Fall,CSCI,2540,001,84090,43,4,TR,1530,1745,
2020,Fall,CSCI,3030,002,84139,31,8,TR,1400,1615,
2020,Fall,CSCI,3550,001,84142,60,9,MW,,,
2020,Fall,CSCI,4180,001,85800,22,14,TR,1630,1745,
2020,Fall,SENG,1010,001,84077,10,1,MWF,0900,0950,
2020,Fall,SENG,1020,001,84155,7,16,MWF,1100,1150,
2020,Fall,SENG,1030,001,84164,9,12,TR,1100,1315,
2020,Fall,SENG,2000,001,84156,5,11,MWF,1400,1450
2020,Spring,CSCI,1010,001,35431,40,14,MWF,1000,1050,
2020,Spring,CSCI,1010,002,35430,35,14,MWF,1300,1350,
2020,Spring,CSCI,1011,001,35558,20,14,M,1700,1840,
2020,Spring,CSCI,1011,002,35560,21,14,T,1700,1840,
2020,Spring,CSCI,1011,003,35561,18,14,W,1700,1840,
2020,Spring,CSCI,1011,004,35563,16,14,R,1700,1840,
2020,Spring,CSCI,2400,001,35531,30,5,TR,1100,1215,
2020,Spring,CSCI,2400,002,35541,36,5,TR,1400,1515,
2020,Spring,CSCI,2405,001,35506,32,1,MWF,1100,1150,
2020,Spring,CSCI,2405,002,35429,16,17,TR,1400,1515,
2020,Spring,CSCI,2530,001,35507,34,1,MWRF,1300,1350,
2020,Spring,CSCI,2530,002,35509,19,1,MWRF,1400,1450,
2020,Spring,CSCI,2540,001,35511,12,4,TR,0930,1045,
2020,Spring,CSCI,2540,002,35513,30,4,TR,1230,1345,
2020,Spring,CSCI,3000,001,35442,11,12,MWF,0900,0950,
2020,Spring,CSCI,3000,002,35441,26,12,MWF,1100,1150,
2020,Spring,CSCI,3000,003,35438,37,12,MW,1400,1515,
2020,Spring,CSCI,3010,001,35449,42,9,MWF,1000,1050,
2020,Spring,CSCI,3010,002,35446,47,9,MWF,1300,1350,
2020,Spring,CSCI,3030,003,35510,18,8,TR,1530,1645,
2020,Spring,CSCI,3650,001,35436,45,13,MWF,0900,0950,
2020,Spring,CSCI,3650,002,35434,43,13,MWF,1100,1150,
2020,Spring,CSCI,4130,001,35565,44,3,TR,1100,1215,
2020,Spring,CSCI,4140,001,35487,38,7,MWF,1000,1050,
2020,Spring,CSCI,4230,001,35483,30,8,TR,1230,1345,
2020,Spring,CSCI,4230,002,35471,31,8,TR,1400,1515,
2020,Spring,CSCI,4231,001,35476,30,8,M,1700,1840,
2020,Spring,CSCI,4231,002,35465,31,8,W,1700,1840,
2020,Spring,CSCI,4550,001,35443,29,9,MWF,1600,1650,
2020,Spring,CSCI,4710,001,35606,50,16,TR,0930,1045,
2020,Spring,CSCI,4905,001,35827,9,5,TR,1700,1815,
2020,Spring,CSCI,5501,001,35589,6,6,M,1700,1750,
2020,Spring,CSCI,6030,001,35590,3,15,TR,1530,1645,
2020,Spring,CSCI,6030,601,35593,6,15,TR,1530,1645,
2020,Spring,CSCI,6040,001,35553,13,6,MW,1400,1515,
2020,Spring,CSCI,6040,601,35559,11,6,MW,1400,1515,
2020,Spring,CSCI,6300,001,35828,1,5,TR,1700,1815,
2020,Spring,CSCI,6710,001,35609,6,16,TR,1400,1515,
2020,Spring,CSCI,6710,601,35610,6,16,TR,1400,1515,
2020,Spring,CSCI,6840,001,35516,7,4,TR,1530,1645,
2020,Spring,CSCI,6840,601,35521,12,4,TR,1530,1645,
2020,Spring,CSCI,7000,002,34900,1,6,,,,
2020,Spring,CSCI,7000,005,35075,1,15,,,,
2020,Spring,CSCI,7000,006,35087,1,16,,,,
2020,Spring,CSCI,7000,008,35093,2,3,,,,
2020,Spring,CSCI,7000,009,36243,1,5,,,,
2020,Spring,CSCI,7000,601,34880,1,4,,,,
2020,Spring,CSCI,7000,605,35082,1,15,,,,
2020,Spring,CSCI,7000,610,36726,1,6,,,,
2020,Spring,DASC,6005,001,35505,2,6,MW,1530,1645,
2020,Spring,DASC,6005,601,35504,2,6,MW,1530,1645,
2020,Spring,DASC,6030,001,35594,2,15,TR,1530,1645,
2020,Spring,DASC,6030,601,35595,4,15,TR,1530,1645,
2020,Spring,DASC,6040,001,35498,3,6,MW,1400,1515,
2020,Spring,DASC,6040,601,35492,2,6,MW,1400,1515,
2020,Spring,SENG,1000,001,36626,8,18,TR,1530,1645,
2020,Spring,SENG,1010,001,35678,11,19,TR,0930,1045,
2020,Spring,SENG,1020,001,35681,4,14,MW,1530,1645,
2020,Spring,SENG,6240,001,35658,2,15,TR,0930,1045,
2020,Spring,SENG,6240,601,35661,13,15,TR,0930,1045,
2020,Spring,SENG,6285,001,35544,3,15,TR,1230,1345,
2020,Spring,SENG,6285,601,35546,16,15,TR,1230,1345,
2020,Spring,SENG,6290,601,35428,2,8,,,,
2020,Spring,SENG,6290,605,35592,1,7,,,,
2020,Spring,SENG,7000,001,35460,1,8,,,,
2020,Spring,SENG,7000,002,35554,1,15,,,,
2020,Spring,SENG,7000,006,35641,1,7,,,,
2020,Spring,SENG,7000,007,35648,1,16,,,,
2020,Spring,SENG,7000,008,35652,2,6,,,,
2020,Spring,SENG,7000,602,35557,1,15,,,,
2020,Spring,SENG,7000,609,36725,1,15,,,,
2019,Fall,CSCI,1000,001,84138,7,3,MW,1000,1050,
2019,Fall,CSCI,1003,001,83986,7,3,M,1300,1440,
2019,Fall,CSCI,1010,001,84139,41,14,MWF,1000,1050,
2019,Fall,CSCI,1010,002,84140,46,14,MWF,1300,1350,
2019,Fall,CSCI,1011,001,84015,17,14,M,1100,1240,
2019,Fall,CSCI,1011,002,84018,18,14,W,1100,1240,
2019,Fall,CSCI,1011,003,84023,19,14,F,1100,1240,
2019,Fall,CSCI,1011,004,84058,18,14,T,0900,1040,
2019,Fall,CSCI,1011,005,84083,16,14,T,1100,1240,
2019,Fall,CSCI,2400,001,84128,41,12,TR,0930,1045,
2019,Fall,CSCI,2400,002,84129,40,12,TR,1530,1645,
2019,Fall,CSCI,2405,001,84136,29,13,MWF,0900,0950,
2019,Fall,CSCI,2405,02,84159,35,16,TR,0930,1045,
2019,Fall,CSCI,2410,01,84116,39,9,MWF,1200,1250,
2019,Fall,CSCI,2410,02,84117,37,9,MWF,1600,1650,
2019,Fall,CSCI,2530,01,83635,31,1,MWRF,1300,1350,
2019,Fall,CSCI,2530,02,83641,32,1,MWRF,1500,1550,
2019,Fall,CSCI,2540,01,83766,32,4,TR,1530,1645,
2019,Fall,CSCI,3030,002,84109,30,8,TR,1230,1345,
2019,Fall,CSCI,3030,01,84108,30,8,TR,0930,1045,
2019,Fall,CSCI,3550,01,84118,45,9,MWF,1400,1450,
2019,Fall,CSCI,3584,01,83908,43,5,MWF,1000,1050,
2019,Fall,CSCI,3584,02,83915,41,5,MWF,1100,1150,
2019,Fall,CSCI,3675,001,84125,55,7,TR,1400,1515,
2019,Fall,CSCI,3700,002,83786,29,4,TR,0930,1045,
2019,Fall,CSCI,3700,01,83780,38,4,TR,1230,1345,
2019,Fall,CSCI,4120,01,84160,38,16,TR,1530,1645,
2019,Fall,CSCI,4120,601,86824,1,16,TR,1530,1645,
2019,Fall,CSCI,4180,03,84141,14,14,MW,1700,1815,
2019,Fall,CSCI,4520,01,84137,35,13,MWF,1300,1350,
2019,Fall,CSCI,4602,01,83643,44,1,MWF,1100,1150,
2019,Fall,CSCI,4602,02,83698,35,1,MWF,0900,0950,
2019,Fall,CSCI,4905,01,83950,6,5,MW,1530,1645,
2019,Fall,CSCI,5501,01,84143,6,6,T,1530,1620,
2019,Fall,CSCI,6010,001,84119,8,7,TR,1700,1815,
2019,Fall,CSCI,6010,601,84120,9,7,,,,
2019,Fall,CSCI,6020,001,84089,7,6,MW,1100,1215,
2019,Fall,CSCI,6020,601,84091,7,6,,,,
2019,Fall,CSCI,6410,001,84121,8,3,MW,1700,1815,
2019,Fall,CSCI,6410,601,84122,4,3,MW,1700,1815,
2019,Fall,CSCI,6510,001,85769,1,5,MW,1530,1645,
2019,Fall,CSCI,6995,07,84161,1,16,,,,
2019,Fall,CSCI,6995,603,85894,1,4,,,,
2019,Fall,CSCI,6995,607,85898,1,16,,,,
2019,Fall,CSCI,7000,003,84099,1,6,,,,
2019,Fall,CSCI,7000,008,86377,1,15,,,,
2019,Fall,CSCI,7000,601,85899,1,4,,,,
2019,Fall,CSCI,7000,603,85901,1,6,,,,
2019,Fall,CSCI,7000,606,85904,1,15,,,
2019,Fall,CSCI,7000,607,85905,2,16,,,
2019,Fall,DASC,6000,01,84126,3,6,MW,1400,1515,
2019,Fall,DASC,6000,601,84127,3,6,MW,1400,1515,
2019,Fall,DASC,6010,001,84123,1,7,TR,1700,1815,
2019,Fall,DASC,6010,601,84124,2,7,,,
2019,Fall,DASC,6020,001,84103,2,6,MW,1100,1215,
2019,Fall,SENG,1000,001,86554,9,3,MWF,1000,1050,
2019,Fall,SENG,5000,001,84132,2,12,TR,1730,1910,
2019,Fall,SENG,5000,601,84133,7,12,TR,1700,1840,
2019,Fall,SENG,5005,01,84153,1,6,MW,1700,1840,
2019,Fall,SENG,5005,601,84154,8,6,MW,1700,1840,
2019,Fall,SENG,6230,01,84146,5,15,TR,1230,1345,
2019,Fall,SENG,6230,601,84147,7,15,TR,1230,1345,
2019,Fall,SENG,6235,001,84148,5,15,TR,0930,1045,
2019,Fall,SENG,6235,601,84149,8,15,,,
2019,Fall,SENG,6250,01,85858,3,8,TR,1530,1645,
2019,Fall,SENG,6250,601,85861,7,8,TR,1530,1645,
2019,Fall,SENG,6265,001,84155,7,20,MW,1230,1345,
2019,Fall,SENG,6265,601,84156,8,20,,1230,1345,
2019,Fall,SENG,6290,03,84150,1,15,,,
2019,Fall,SENG,7000,004,84158,2,6,,,
2019,Fall,SENG,7000,01,84115,1,8,,,
2019,Fall,SENG,7000,605,85910,1,16,,,
2019,Fall,SENG,7000,606,86998,1,15,,,
2019,Spring,CSCI,1010,001,33038,42,14,MWF,1000,1050,
2019,Spring,CSCI,1010,002,33040,44,14,MWF,1300,1350,
2019,Spring,CSCI,1011,001,33042,19,14,M,1700,1840,
2019,Spring,CSCI,1011,002,33046,20,14,T,1700,1840,
2019,Spring,CSCI,1011,003,33050,23,14,W,1700,1840,
2019,Spring,CSCI,1011,004,33051,24,14,M,1500,1640,
2019,Spring,CSCI,2400,001,33070,38,21,TR,1100,1215,
2019,Spring,CSCI,2400,002,33071,53,21,TR,1700,1815,
2019,Spring,CSCI,2405,001,33024,29,13,MWF,1100,1150,
2019,Spring,CSCI,2405,003,33072,24,21,TR,1400,1515,
2019,Spring,CSCI,2410,001,33054,40,10,,,
2019,Spring,CSCI,2530,001,32837,40,1,MWRF,1300,1350,
2019,Spring,CSCI,2530,002,32840,33,1,MWRF,1600,1650,
2019,Spring,CSCI,2540,001,32852,25,4,TR,0930,1045,
2019,Spring,CSCI,2540,002,32853,16,4,TR,1230,1345,
2019,Spring,CSCI,3000,001,32869,15,12,MWF,0900,0950,
2019,Spring,CSCI,3000,002,32872,41,12,MWF,1100,1150,
2019,Spring,CSCI,3000,003,33021,13,12,TR,0930,1045,
2019,Spring,CSCI,3010,001,33017,29,9,MWF,1000,1050,
2019,Spring,CSCI,3010,002,33018,48,9,MWF,1300,1350,
2019,Spring,CSCI,3010,003,33020,20,9,MWF,1500,1550,
2019,Spring,CSCI,3650,001,32843,53,1,MWF,1000,1050,
2019,Spring,CSCI,3650,002,33960,29,5,TR,1230,1345,
2019,Spring,CSCI,4130,001,32991,53,6,TR,1100,1215,
2019,Spring,CSCI,4140,001,33027,26,13,MWF,0900,0950,
2019,Spring,CSCI,4230,001,33003,44,8,TR,1400,1515,
2019,Spring,CSCI,4231,001,33009,44,8,TR,1600,1800,
2019,Spring,CSCI,4710,001,33074,48,16,TR,1815,1930,
2019,Spring,CSCI,4905,001,32874,19,5,MW,1530,1645,
2019,Spring,CSCI,5501,001,33057,27,14,M,1700,1750,
2019,Spring,CSCI,6030,001,32994,12,6,TR,1100,1215,
2019,Spring,CSCI,6030,601,32996,5,6,TR,,,
2019,Spring,CSCI,6100,001,32989,3,5,MW,1530,1645,
2019,Spring,CSCI,6600,001,32865,3,4,TR,1530,1645,
2019,Spring,CSCI,6600,601,32867,5,4,TR,,,
2019,Spring,CSCI,6710,001,33075,7,16,TR,1815,1930,
2019,Spring,CSCI,6710,601,33078,10,16,TR,,,
2019,Spring,CSCI,7000,002,34466,2,6,,,
2019,Spring,CSCI,7000,005,34472,4,15,,,
2019,Spring,CSCI,7000,006,34444,1,16,,,
2019,Spring,CSCI,7000,602,34467,1,6,,,
2019,Spring,CSCI,7000,606,34452,1,16,,,
2019,Spring,DASC,6030,001,35503,1,6,TR,1100,1215,
2019,Spring,DASC,6030,601,32999,1,6,TR,,,
2019,Spring,SENG,5000,001,37048,4,14,TR,1700,1840,
2019,Spring,SENG,5005,002,37081,2,21,MW,1700,1840,
2019,Spring,SENG,6245,001,33015,4,8,TR,1230,1345,
2019,Spring,SENG,6245,601,33012,9,8,TR,,,
2019,Spring,SENG,6260,001,33033,4,15,MW,1100,1215,
2019,Spring,SENG,6260,601,33035,9,15,MW,,,
2019,Spring,SENG,6285,001,33036,1,15,MW,1530,1645,
2019,Spring,SENG,6285,601,33037,10,15,,,
2019,Spring,SENG,6290,601,37039,1,15,,,
2019,Spring,SENG,7000,002,34460,3,15,,,
2019,Spring,SENG,7000,004,36617,1,15,,,
2019,Spring,SENG,7000,601,34459,1,8,,,
2019,Spring,SENG,7000,602,34461,2,15,,,
2019,Spring,SENG,7000,604,37080,1,12,,,
2018,Fall,CSCI,1000,001,85584,22,14,MW,1100,1150,
2018,Fall,CSCI,1003,001,85585,23,14,M,1200,1340,
2018,Fall,CSCI,1010,001,85586,120,9,MWF,1300,1350,
2018,Fall,CSCI,1011,001,85587,21,9,M,1400,1540,
2018,Fall,CSCI,1011,002,85588,15,9,R,1500,1640,
2018,Fall,CSCI,1011,003,85589,20,9,T,1500,1640,
2018,Fall,CSCI,1011,004,85590,7,9,F,1500,1640,
2018,Fall,CSCI,1011,005,85592,23,9,W,1500,1640,
2018,Fall,CSCI,1011,006,85594,23,9,R,1300,1440,
2018,Fall,CSCI,1011,007,86831,11,9,M,1600,1740,
2018,Fall,CSCI,2400,001,85595,66,13,MWF,0900,0950,
2018,Fall,CSCI,2400,002,86798,39,13,MWF,1100,1150,
2018,Fall,CSCI,2405,001,84646,28,16,TR,1230,1345,
2018,Fall,CSCI,2405,002,86990,24,16,TR,1230,1345,
2018,Fall,CSCI,2410,001,84648,60,10,TR,0800,0915,
2018,Fall,CSCI,2410,002,86799,40,10,TR,1100,1215,
2018,Fall,CSCI,2530,001,84651,58,1,MWRF,1600,1650,
2018,Fall,CSCI,2540,001,84654,25,13,MW,1400,1515,
2018,Fall,CSCI,3030,001,84659,49,8,TR,0930,1045,
2018,Fall,CSCI,3030,002,86797,20,8,TR,1530,1645,
2018,Fall,CSCI,3200,001,85596,7,4,TR,0900,1040,
2018,Fall,CSCI,3584,001,85597,68,5,MWF,1000,1050,
2018,Fall,CSCI,3675,001,84660,46,1,MWF,1400,1450,
2018,Fall,CSCI,3700,001,84661,48,6,TR,1100,1215,
2018,Fall,CSCI,3700,002,86795,30,4,TR,1230,1345,
